外勞健康檢查項目有什麼?,依據受聘僱外國人健康檢查管理辦法，藍領外勞之健康檢查項目包括：胸部 X  光肺結核檢查、漢生病檢查、梅毒血清檢查、腸內寄生蟲糞便檢查、身體檢查、麻疹及德國麻疹之抗體陽性檢驗報告或預防接種證明。另外，印尼籍外勞於入國3日健康檢查加驗傷寒、副傷寒及桿菌性痢疾檢查（糞便培養）及症狀問診，發燒者加驗血液培養。,外國人健檢
外勞定期健康檢查做好之後，單子要送去哪個單位嗎?,依據受聘僱外國人健康檢查管理辦法，定期健檢證明正本應送交該名外籍勞工留存。若定期健檢結果如有不合格項目或須進一步檢查者，雇主須於取得複檢診斷證明書或完成治療證明之次日起15日內，將複檢診斷證明書（或完成治療證明）及聘僱許可函送交衛生局備查。,外國人健檢
小朋友接種公費疫苗的時間?,兒童健康手冊的預防接種時程表及紀錄表上有各項公費疫苗的適合接種時間，或者您可至疾病管制署全球資訊網的預防接種專區查詢。,例行預防接種
小朋友不是在台灣出生，可以打公費疫苗嗎?,外籍人士如持有我國居留證或定居證且符合各項公費疫苗適用對象，均可提供接種。,例行預防接種
小孩打完疫苗不舒服怎麼辦?,疫苗接種後可能發生注射部位疼痛、紅腫等，通常2-3天內會消失，嚴重不良反應很少見。但是如果有接種部位紅腫、硬塊?退或持續高燒或其他特殊症狀，應儘速就醫診察。,例行預防接種
小孩打疫苗的時間好像不對，怎麼辦?,您可持孩子的兒童健康手冊洽就近的衛生所（臺北市為健康服務中心）協助查詢及核對小朋友的接種時間。,例行預防接種
想申請常規疫苗接種證明，要去哪裡申請?,因為出國留學、移民或工作需要預防接種證明，可持身份證明文件及健保卡洽就近的衛生所（臺北市為健康服務中心）申請。平時亦可透過健保署之「健康存摺」，查詢暸解已接種的疫苗項目。,例行預防接種
現在要出國玩，有沒有要注意甚麼?要不要先打疫苗?,由於每個人的健康狀況及旅遊情形不同，建議您於出國前4-6週至國內的旅遊醫學門診諮詢，由醫師提供專業的預防接種建議及旅遊健康注意事項。<a title='點擊查看旅遊醫學門診 ' target='_blank' href='https://www.cdc.gov.tw/Category/Page/ucmuQnzcJPue77qHt0IXeg' > 點擊查看旅遊醫學門診 </a>,國際預防接種
聽說要去非洲要先打黃熱病疫苗，要去哪裡打?,您可至國內的旅遊醫學門診接種黃熱病疫苗。,國際預防接種
因為要出國留學，學校要求要以前的預防接種，可以申請的到嗎?,預防接種證明書可以至各地衛生所申請。,國際預防接種
出國旅遊回來後好像不舒服，是不是要通報?,如您於入境時有身體不適的情形，建議您可以主動告知航空公司服務人員或機場檢疫人員。如您於回國後21日內有身體不的適情形，請配戴口罩儘速就醫，並告知醫師旅遊史及接觸史。建議您就醫，並主動告知醫療人員您的旅遊史、職業與是否有同行親友不舒服，以利醫療人員診斷並確認是否需進行傳染病通報。,國際預防接種
我之前的黃熱病證明書不見了可以補發嗎?,您可至國內的任一家旅遊醫學門診申請補證。,國際預防接種
怎樣才可以使用到公費治療流感的藥物?,如您有類流感症狀，可就近至全國4千多家公費流感抗病毒藥劑合約院所就醫，由醫師評估是否符合公費流感抗病毒藥劑使用條件。 凡經醫師判斷符合以下條件者，不需快篩，即可開立公費流感抗病毒藥劑： 公費藥劑使用對象，倘非本國籍人士，除通報流感併發重症及新型A型流感等法定傳染病患者外，應有居留證(18歲以下孩童其父母需一方為本國籍或持有居留證) <br />一、 符合流感併發重症通報病例(需通報於法定傳染病通報系統) <br />二、 孕婦經評估需及時用藥者(領有國民健康署核發孕婦健康手冊之婦女) <br />三、 未滿5歲及65歲以上之類流感患者 <br />四、 確診或疑似罹患流感住院(含急診待床)之病患 註：罹患流感因病況嚴重而需住院治療的病患，並不包括門診病人，依此條件使用公費藥劑者須備有「住院紀錄」 <br />五、 具重大傷病、免疫不全(含使用免疫抑制劑者)或流感高風險慢性疾病之類流感患者   <br />註：   <br />1.重大傷病：健保卡註記為重大傷病或持有重大傷病證明紙卡者。   <br />2.流感高風險慢性疾病之ICD CODE為B20 ， Z21 ， D80-84 ， D86 ， D89 ， E08-13 ， E66 ， E85 ， G09 ， G20 ， G30-32 ， G35-37 ， G40 ， G45-46 ， G65 ， G70 ， G72 ， I00-02 ， I05-09 ， I11-13 ， I20-22 ， I24-25 ， I27-28 ， I34-37 ， I42-43 ， I44-45 ， I47-49 ， I50-51 ， I60-62 ， I63 ， I67-69 ， I70 ， I72 ， I73-74 ， I77 ， I79 ， J40-45 ， J47 ， J60-70 ， J82 ， J84 ， J96 ， J98 ， J99 ， K70-72 ， K73-76 ， B18-19 ， M05-06 ， M30-31 ， M32-34 ， M35 ， M94.1 ， N00-01 ， N03 ， N05 ， N04 ， N18-19 ， N26-27 ， Q89.01 ， Z90.81。 <br />六、 肥胖之類流感患者(BMI≧30) <br />七、 經疾病管制署各區管制中心防疫醫師認可之類流感群聚事件 <br />八、 符合新型A型流感通報定義者(需通報於法定傳染病通報系統) <br />九、 新型A型流感極可能/確定病例之密切接觸者(接觸者名冊經傳染病防治醫療網區正/副指揮官或其授權人員研判需給藥者) <br />十、 動物流感發生場所撲殺清場工作人員(接觸者名冊經傳染病防治醫療網區正/副指揮官或其授權人員研判需給藥者) 註：選填此項者需填寫禽畜場名稱或編號,流感
流感有沒有規定小孩請假或停課的天數?,目前針對流感並無相關請假的一致規定或停課標準，請假部分應依學校/職場相關規定辦理。 但流感傳染力強，為了避免傳染給他人，生病學(幼)生應在家休養，直至退燒後至少24小時才能返回上課，落實生病不上班、不上課。 另學校/幼兒園/補習班/兒童課後照顧服務班與中心等機關(構)，可考量當季學(幼)生流感疫苗接種率、預防性投藥情形及流行期病毒變異狀況等因素作個別評估。各機關(構)經評估需採取停課措施時，建議以發生群聚之班級停課5天(含例假日)為原則。生病者則應持續停課至退燒後至少24小時，才能返回上課。,流感
為甚麼醫師說要先用快篩才能給我公費的藥?,經醫師評估符合本署訂定之公費流感抗病毒藥劑使用條件者，不須快篩，即可使用，因此建議您與醫生溝通與討論。若醫師有不當收取快篩費用之情形，可向健保署反映。 醫師遇到流感病患，應提高警覺，如符合流感併發重症及新型A型流感通報病例定義應儘速通報，對於符合公費流感抗病毒藥劑用藥條件之民眾，不需快篩，即可及早給予公費抗病毒藥劑，以減少嚴重併發症及死亡的發生。另外為落實健保分級醫療及提升診所服務能力，國民健康保險署已對外公告自106年5月起，開放診所可以執行A型及B型流感篩檢並提供給付，詳細給付可詢問國民健康保險署。,流感
聽說有流感的疫情，但是打不到流感疫苗怎麼辦?,若沒有接種到流感疫苗，仍需藉由維持身體健康、提升個人免疫力、保持良好衛生習慣：咳嗽、流鼻水時，請以手帕或衛生紙遮住口鼻部、常洗手、避免用手接觸眼、鼻、口；生病發燒時減少出門， 當有發燒等類流感症狀時，請儘速就醫，必要時依醫師處方，接受抗病毒藥劑治療。,流感
好像有流感症狀，為甚麼醫生只開一般藥?流感併發重症是甚麼?,由於引起類流感症狀之病原體很多，流感抗病毒藥劑僅能治療流感病毒引起之感染症狀，因此須經由醫師診療確立病情後，再依指示服藥。罹患流感可能併發嚴重併發症，甚至導致死亡，最常見併發症為肺炎，其他還可能併發腦炎、心肌炎、神經症狀等。,流感
被動物抓傷，可以去哪裡打疫苗嗎?,本署全球資訊網站 <a title='' target='_blank' href='https://www.cdc.gov.tw/Disease/SubIndex/u5dFJL5s1K6uh0EcWVzJYQ'> 傳染病介紹/狂犬病網頁</a>，有公佈「人用狂犬病疫苗接種服務醫院」，您可依據所在地等需求前往接種。,狂犬病
為甚麼醫生說在台灣被狗咬不用打疫苗?,2018年7月25日「人用狂犬病疫苗短缺因應措施專家研商會議」決議，依據農委會88-106年之流浪犬貓狂犬病監測資料，結果皆為陰性，且國內持續推動犬貓動物狂犬病疫苗注射，國內犬貓感染狂犬病毒風險極低，因此「流浪犬貓咬傷者」及家犬貓咬傷者，暫不給予疫苗，動物觀察10日內出現疑似狂犬病症狀，並經動檢機關高度懷疑，則給予疫苗。,狂犬病
怎樣會被傳染狂犬病?,狂犬病病毒隨著動物的唾液，透過動物抓、咬的傷口而感染。,狂犬病
因為要去國外念獸醫，學校說要打疫苗，但醫師說要先申請?,由於暴露前預防接種需注射3劑疫苗後（分別為第0、7及21或28天各施打一劑狂犬病疫苗）才能產生足夠的保護力，如為高風險族群必需在可能的暴露發生前1個月以上事先安排與規劃。,狂犬病
感染狂犬病會有甚麼症狀?,狂犬病初期症狀有發熱、頭痛或咬傷部位異樣感，數天後出現異常亢奮或恐懼現象，然後麻痺、吞嚥困難、咽喉部痙攣，並引起恐水現象（因喝水或看到水引起之喉部痙攣），隨後併有精神錯亂及抽搐等情況，患者常因呼吸麻痺而死亡。,狂犬病
有收到接觸者的通知單，要去哪裡檢查?,接觸者憑「TB接觸者就醫轉介單」可在指定的醫療院所進行檢查，醫療院所清單可諮詢所在地衛生局，也可至本署全球資訊網「潛伏結核全都治」專區查詢。,結核病
要求確認目前結核病的檢查結果?,結核病診斷包括胸部X光檢查、細菌學檢查及病理切片等方式，需要醫師綜合研判，故需本人再回原醫療院所由醫師診療後進行檢驗及病況說明。,結核病
周遭有潛伏結核病的朋友，會不會被傳染,潛伏結核感染（Latent tuberculosis infection；LTBI）者由於尚未發病，是不會傳染給旁人的，但在將來會有發病的可能性，如能接受潛伏結核感染治療，則可有效減少日後發病機會。,結核病
怎樣會被感染到結核病?,結核病的主要傳染途徑是飛沫與空氣傳染。主要是因為帶菌的結核病患者常在吐痰、咳嗽、講話、唱歌或大笑時，產生帶有結核桿菌的飛沫，如果不小心吸入患者產生的飛沫，就有可能感染。結核病不會經由衣服或食器傳染。結核病的傳染途徑通常發生在與病患同住一室的家人或親近接觸的人，與病患的接觸時間長短、是否具有良好的通風環境，是影響被傳染機會的重要因素。,結核病
吃了治療結核病的藥物不舒服怎麼辦?,服用治療結核病的藥物如有不適，應請診治醫師根據臨床狀況判斷，及時安排相關檢查。而為避免治療中斷導致治療時間延長，建議患者皆應納入都治計畫。都治計畫：世界衛生組織強力推薦每一位結核病個案均應實施直接觀察治療（Directly Observed Treatment Short-Course， DOTS，台灣譯為「都治計畫」），由於抗結核的治療過程漫長，而且有部分人員因為自身體質等因素，可能會有治療過程不舒服感或副作用，藉由經過訓練的關懷員執行「送藥到手、服藥入口、吞下再走」，關懷結核病個案服藥治療過程，有效降低個案抗藥性的產生，提高治癒的成功機率，重拾健康。,結核病
某地環境髒亂孳生蚊蟲擔心有登革熱疫情，可以派人來處理嗎?,您可以聯繫當地衛生局或環保機關協助處理。,登革熱
要求提供登革熱相關數據,若您想瞭解登革熱最新疫情資訊，可至<a title='衛生福利部疾病管制署全球資訊網站' target='_blank' href='https://www.cdc.gov.tw/'>衛生福利部疾病管制署全球資訊網站</a>之傳染病統計資料查詢系統查詢。,登革熱
已被通知說要噴藥，詢問噴藥時間及相關事宜?,地方政府執行噴藥前會事先通知，若住戶當時不在，則發放或張貼噴藥通知單，如您需要查詢或確認噴藥相關事宜，可依通知單上的聯絡方式與負責單位溝通，或洽詢當地衛生局。,登革熱
聽說有登革熱的疫情，要怎麼預防?,清除積水容器是預防登革熱最有效的辦法，另可採取防蚊措施避免病媒蚊叮咬，例如：穿著淺色長袖衣褲，皮膚裸露處使用政府機關核可的防蚊藥劑。,登革熱
哪家醫院有提供登革熱的快篩?,您可至<a title='衛生福利部疾病管制署全球資訊網站' target='_blank' href='https://www.cdc.gov.tw/'>衛生福利部疾病管制署全球資訊網站</a>輸入「登革熱NS1 醫療院所」搜尋，即可查閱名單。,登革熱
小朋友感染腸病毒是否有停課標準?,在下列疫情狀況下，建議幼兒園、托嬰中心等學前教托育機構，採取停課措施： <br />(1)衛生福利部疾病管制署公布當年度發生腸病毒71型流行疫情：當機構內同一班級在一週內有兩名以上(含兩名)幼童經醫師診斷為腸病毒感染（手足口病或?疹性咽峽炎等）時，該班級應停課7天。<br />(2)當年度無腸病毒71型流行疫情，但機構所在的鄉鎮市區，若當年度曾由衛生福利部疾病管制署公布有「腸病毒71型檢驗陽性個案」或「年齡在3個月以上的腸病毒感染併發重症個案」時，當機構內同一班級在一週內有兩名以上(含兩名)幼童經醫師診斷為腸病毒感染（手足口病或?疹性咽峽炎等）時，該班級應停課7天。<br />(3)當機構內發生腸病毒D68型感染併發重症確定個案，該個案就讀之班級應停課7天。<br />惟各縣市衛生單位亦會視當地腸病毒疫情狀況，訂定相關停課標準，如有疑問亦可洽詢當地當地衛生單位確認。,腸病毒
小孩感染腸病毒，欲做環境消毒，詢問漂白水比例應如何調配?,建議使用500ppm濃度漂白水消毒。泡製方法：家庭用漂白水（濃度約5～6%）5湯匙（一般湯匙，容量約15～20cc），共約100cc，加入10公升的自來水攪拌均勻即可。,腸病毒
感染腸病毒要請假幾天?,腸病毒在發病後的一週內傳染力最高，原則上建議以發病日起算，請假在家休息7天為原則，以減低傳染的機會。所在縣市如訂有腸病毒請假相關規定，則依其公告為準。,腸病毒
腸病毒重症的危險徵兆有哪些?,感染腸病毒後的5天內，家長與其他照顧者要特別注意病情變化，如果出現「嗜睡、意識不清、活力不佳、手腳無力」、「肌躍型抽搐（無故驚嚇或突然間全身肌肉收縮）」、「持續嘔吐」與「呼吸急促或心跳加快」等腸病毒重症前兆，請務必立即送至大醫院接受適當治療。,腸病毒
感染腸病毒會有哪些症狀?,感染病毒後一般3~5天會出現症狀，但是大多數感染者，沒有臨床症狀或臨床症狀極為輕微，而大部分病例過了幾天之後就會自然痊癒。典型症狀為口腔、手掌、腳掌出現水泡、潰瘍，可能合併發燒，病程為七至十天。,腸病毒
流感之停課措施?,為避免流感的傳播，生病者應在家休養，不上班、不上課；有呼吸道症狀時，應配戴口罩並注意呼吸道衛生與咳嗽禮節。學校/幼兒園/補習班/兒童課後照顧服務班與中心等機關(構)經個別評估(如有必要，可與地方衛生單位及教育單位討論)，需採取停課措施時，建議以發生群聚之班級停課5天(含例假日)為原則。生病者則應持續停課至退燒後至少24小時，才能返回上課。,流感
流感之請假規定?,為避免流感病毒的傳播，且希望流感患者能儘早康復，生病者應儘量在家休養，不上班不上課；如果有呼吸道症狀時，應配戴口罩並注意呼吸道衛生與咳嗽禮節。至於請假部分，則依學校或職場相關規定辦理。,流感
感染流感是否需要隔離?,目前並沒有規定感染流感必須強制隔離。但為避免流感病毒的傳播，且希望流感患者能儘早康復，生病者應在家休養，不上班、不上課；如果有呼吸道症狀時，應配戴口罩並注意呼吸道衛生與咳嗽禮節。</br>另人口密集機構/醫療機構/托嬰中心/學校/補習班/兒童課後照顧服務班與中心/軍營等因居住或活動空間較為擁擠，易傳播病毒，有症狀個案應留置於單獨房室/空間或採集中管制，避免至公共區域，以降低群聚事件發生。,流感
什麼是流感快篩?,流感快篩檢測是臨床醫師診斷流感之輔助工具之一，病人須由醫師依臨床症狀進行專業判斷後，決定是否進行快篩檢測或運用其他工具進行診斷；此外流感快篩試劑有一定敏感度與準確度的限制，且易受檢體內病毒活性及病毒量而影響檢測結果。,流感
什麼是新型A型流感？會人傳人嗎?,"1. 新型A型流感（Novel Influenza A Virus Infections）是指每年週期性於人類間流行的季節性流感A(H1N1)及A(H3N2)以外，偶然出現感染人類的其他動物流感病毒。
2. 走私食品無經過任何食物品質之控管，包括活體之取得及宰殺、生禽畜肉之保存、製造過程及運送過程之衛生條件等環節實難以評估。建議千萬不要購買違法屠宰的禽畜或來路不明的肉品及其製品，應選購有「防檢局屠宰衛生合格」標誌的肉品，並優先選購經殺菌消毒之洗選蛋，散裝零售蛋可能受到禽類糞便的污染，因此購買後要先清洗蛋殼後再烹煮。",流感
吃雞、鴨等禽肉、蛋類或豬肉，會不會感染新型A型流感?,1. 根據世界衛生組織提供民眾食用禽肉或豬肉之建議：以70°C以上烹煮肉品，可以使其病毒不活化。截至目前為止，尚無實例顯示人們經由食用「煮熟」的肉類製品而被感染新型A型流感；因此，食用完全煮熟的肉品相關製品是安全的，但烹煮前的冷凍及解凍過程應謹慎為是，且應避免生熟食交叉汙染。,流感
自費流感疫苗可至哪家醫院、診所施打？,流感疫苗自費市場是由疫苗廠商自行評估國內需求，向國外原廠訂貨進口或自行生產製造，再由醫療院所直接向疫苗廠商採購，提供民眾接種。因此，自費疫苗的供貨，係屬市場機制。建議民眾如有自費接種需求可逕詢各家疫苗公司，賽諾菲股份有限公司(電話：02-21765588)、荷商葛蘭素史克藥廠股份有限公司台灣分公司(電話：02-23818866)、國光生物科技股份有限公司(電話：04-25381220)、台灣東洋藥品工業股份有限公司(電話：02-26525999)或先向醫院及診所預約接種。,流感-疫苗
為何已接種流感疫苗仍感染流感？,由於流感疫苗之保護力因年齡或身體狀況不同而異，疫苗保護效果亦需視當年疫苗株與實際流行的病毒株型別是否相符，因此不論是否接種流感疫苗，建議民眾應落實勤洗手及注意呼吸道衛生，儘量避免出入人潮擁擠、空氣不流通的公共場所，以避免流感病毒侵襲；如出現類流感症狀（如發燒、咳嗽等），請戴上口罩儘速就醫，並在家休息。另依本部疾病管制署流感疫情統計資料顯示，106年度流感季(106年10月至107年9月)通報流感重症個案，未接種流感疫苗者占81.8%，有接種流感疫苗者占18.2%。,流感
中東呼吸症候群冠狀病毒感染症(MERS)的預防措施？,"1. 欲赴中東地區的民眾，請提高警覺並注意個人衛生及手部清潔，同時儘量減少至人群聚集或空氣不流通的地方活動，或與有呼吸道症狀者密切接觸。此外應避免前往當地農場、接觸駱駝或生飲駱駝等動物奶，並應儘可能避免出入醫療機構，以降低受感染可能性。
2. 自中東地區入境的民眾，若出現發燒或有急性呼吸道症狀，應主動通報港埠檢疫人員，並配合接受檢疫及後送就醫作業，進行採檢與醫學評估；返國14天內，若出現呼吸道症狀或有發燒症狀，則應配戴口罩儘速就醫治療，並主動告知醫護人員旅遊史與接觸史。",中東呼吸症候群冠狀病毒感染症
流感抗病毒藥劑付費問題,目前流感抗病毒藥劑並未納入健保給付，屬自費項目。然而為因應全球新型流感大流行之防疫需求，本部疾病管制署依世界衛生組織及國內專家建議，採購及儲備克流感等流感抗病毒藥劑，訂定公費藥劑使用對象，提供醫療使用於感染流感後容易併發重症的高危險群(如5歲以下嬰幼兒、65歲以上老人、慢性病病人、孕婦等)，為善用國家資源，會在流感流行高峰之特定期間公告釋出效期最短藥劑，擴大適用之對象範圍。,流感
請問年度防疫物資-個人防護裝備查核作業的依據及查核項目規定?,本部疾病管制署依據防疫物資及資源建置實施辦法第14條及本部食品藥物管理署醫療器材管理辦法第3條規定，訂定年度防疫物資-防護裝備查核作業，其電子檔每年會公告於本部疾管署防疫物資管理資訊系統(MIS)首頁及全球資訊網之專業版/防疫夥伴/防疫應變準備資訊/個人防護裝備頁面。,
